id,medoid_1,medoid_2,medoid_3
1.1,1.123836,0.448229,0.545968
1.2,0.967612,0.000000,0.541149
1.3,1.132725,0.458698,0.553199
1.4,0.788606,0.388274,0.691342
1.5,0.965920,0.463787,0.735227
1.6,1.263230,0.493006,0.684787
1.7,0.880427,0.352408,0.654422
1.8,0.960353,0.413495,0.750638
1.9,1.168932,0.503791,0.569448
1.10,1.104161,0.370682,0.577083
2.1,0.808471,0.833487,0.847396
2.2,0.590062,0.883118,0.776772
2.3,0.809778,0.833885,0.763003
2.4,0.895618,0.828366,0.657882
2.5,0.000000,0.967612,0.947403
2.6,0.627051,0.883315,0.911015
2.7,0.808447,0.877526,0.567561
2.8,0.898924,0.885189,0.591861
2.9,0.679386,0.926690,0.872198
2.10,0.615290,0.887692,0.915026
3.1,0.947403,0.541149,0.000000
3.2,0.977615,0.483156,0.605838
3.3,0.720689,0.623807,0.603026
3.4,0.937756,0.624663,0.457315
3.5,1.071894,0.668105,0.456616
3.6,0.955507,0.657814,0.554122
3.7,0.917158,0.432443,0.606495
3.8,0.895243,0.418166,0.646756
3.9,0.914609,0.445019,0.683318
3.10,0.865688,0.655421,0.635181
