timestamp,metric,k,L,n_per_group,noise,plevel,repeat,ARI,obj,seed
2025-09-13T23:57:58,wmfd,3,20,8,0.1,0.3,0,0.144492,16.688462,43699
2025-09-13T23:58:04,wmfd,3,20,8,0.25,0.3,0,0.336462,19.039349,59823
2025-09-13T23:58:11,wmfd,3,20,8,0.5,0.3,0,0.332284,15.802913,50277
2025-09-13T23:58:17,wmfd,3,20,8,0.75,0.3,0,0.022371,16.849439,26249
2025-09-13T23:58:23,wmfd,3,20,8,0.1,0.5,0,0.322792,10.841879,25702
2025-09-13T23:58:29,wmfd,3,20,8,0.25,0.5,0,0.87208,14.304474,41826
2025-09-13T23:58:35,wmfd,3,20,8,0.5,0.5,0,0.412732,13.176474,32280
2025-09-13T23:58:41,wmfd,3,20,8,0.75,0.5,0,0.127844,12.582059,8252
2025-09-13T23:58:58,wmfd,3,20,8,0.1,0.7,0,1.0,8.565222,28278
2025-09-13T23:59:38,wmfd,3,20,8,0.25,0.7,0,1.0,7.918334,30713
2025-09-14T00:01:42,wmfd,3,20,8,0.5,0.7,0,1.0,9.530528,21167
2025-09-14T00:02:08,wmfd,3,20,8,0.75,0.7,0,1.0,10.707305,62675
2025-09-14T00:02:20,wmfd,3,20,16,0.1,0.3,0,0.189274,28.134998,49132
2025-09-14T00:02:41,wmfd,3,20,16,0.25,0.3,0,0.296479,32.277701,51567
2025-09-14T00:02:52,wmfd,3,20,16,0.5,0.3,0,-0.006827,31.054162,27539
2025-09-14T00:02:59,wmfd,3,20,16,0.75,0.3,0,0.483249,38.907043,17993
2025-09-14T00:03:06,wmfd,3,20,16,0.1,0.5,0,0.936809,21.480633,18958
2025-09-14T00:03:16,wmfd,3,20,16,0.25,0.5,0,0.618401,30.48642,21393
2025-09-14T00:03:22,wmfd,3,20,16,0.5,0.5,0,0.124101,26.186359,62901
2025-09-14T00:03:28,wmfd,3,20,16,0.75,0.5,0,0.389822,24.742886,53355
2025-09-14T00:03:46,wmfd,3,20,16,0.1,0.7,0,0.819379,19.888199,346
2025-09-14T00:04:58,wmfd,3,20,16,0.25,0.7,0,1.0,21.509657,2781
2025-09-14T00:05:13,wmfd,3,20,16,0.5,0.7,0,0.774194,18.33893,44289
2025-09-14T00:06:05,wmfd,3,20,16,0.75,0.7,0,1.0,23.632822,34743
2025-09-14T00:06:18,wmfd,3,20,32,0.1,0.3,0,0.275294,70.154435,4412
2025-09-14T00:06:36,wmfd,3,20,32,0.25,0.3,0,-0.00123,68.79523,21329
2025-09-14T00:06:57,wmfd,3,20,32,0.5,0.3,0,0.142545,69.724075,62837
2025-09-14T00:07:40,wmfd,3,20,32,0.75,0.3,0,0.189291,57.132669,53291
2025-09-14T00:07:48,wmfd,3,20,32,0.1,0.5,0,0.651754,49.718135,9908
2025-09-14T00:07:57,wmfd,3,20,32,0.25,0.5,0,0.878381,51.604006,12343
2025-09-14T00:08:05,wmfd,3,20,32,0.5,0.5,0,0.641292,50.50753,53851
2025-09-14T00:08:23,wmfd,3,20,32,0.75,0.5,0,0.673865,54.017301,44305
